"source","variable","var","code","label","N","prop"
"teds_2024_ind","age","AGE",1,"20至29歲",127,0.105745
"teds_2024_ind","age","AGE",2,"30至39歲",157,0.130724
"teds_2024_ind","age","AGE",3,"40至49歲",235,0.19567
"teds_2024_ind","age","AGE",4,"50至59歲",215,0.179017
"teds_2024_ind","age","AGE",5,"60歲及以上",467,0.388843
"teds_2024_ind","arear","AREAR",1,"北北基宜蘭區",341,0.282753
"teds_2024_ind","arear","AREAR",2,"桃竹苗區",198,0.164179
"teds_2024_ind","arear","AREAR",3,"中彰投區",251,0.208126
"teds_2024_ind","arear","AREAR",4,"雲嘉南區",185,0.1534
"teds_2024_ind","arear","AREAR",5,"高屏澎湖區",193,0.160033
"teds_2024_ind","arear","AREAR",6,"花東外島區",38,0.031509
"teds_2024_ind","city","City",2,"宜蘭縣",32,0.026534
"teds_2024_ind","city","City",4,"新竹縣",34,0.028192
"teds_2024_ind","city","City",5,"苗栗縣",33,0.027363
"teds_2024_ind","city","City",7,"彰化縣",68,0.056385
"teds_2024_ind","city","City",8,"南投縣",31,0.025705
"teds_2024_ind","city","City",9,"雲林縣",32,0.026534
"teds_2024_ind","city","City",10,"嘉義縣",62,0.05141
"teds_2024_ind","city","City",13,"屏東縣",64,0.053068
"teds_2024_ind","city","City",14,"台東縣",19,0.015755
"teds_2024_ind","city","City",15,"花蓮縣",19,0.015755
"teds_2024_ind","city","City",17,"基隆市",33,0.027363
"teds_2024_ind","city","City",18,"新竹市",33,0.027363
"teds_2024_ind","city","City",63,"台北市",143,0.118574
"teds_2024_ind","city","City",64,"高雄市",129,0.106965
"teds_2024_ind","city","City",65,"新北市",133,0.110282
"teds_2024_ind","city","City",66,"台中市",152,0.126036
"teds_2024_ind","city","City",67,"台南市",91,0.075456
"teds_2024_ind","city","City",68,"桃園市",98,0.08126
"teds_2024_ind","edu","EDU",1,"小學及以下",135,0.112033
"teds_2024_ind","edu","EDU",2,"國、初中",99,0.082158
"teds_2024_ind","edu","EDU",3,"高中、職",292,0.242324
"teds_2024_ind","edu","EDU",4,"專科",160,0.13278
"teds_2024_ind","edu","EDU",5,"大學及以上",519,0.430705
"teds_2024_ind","ethnicity","Q2",1,"本省客家人",140,0.117944
"teds_2024_ind","ethnicity","Q2",2,"本省閩南人",881,0.742207
"teds_2024_ind","ethnicity","Q2",3,"大陸各省市",142,0.119629
"teds_2024_ind","ethnicity","Q2",4,"原住民",15,0.012637
"teds_2024_ind","ethnicity","Q2",5,"大陸新住民",1,0.000842
"teds_2024_ind","ethnicity","Q2",6,"外國新住民",3,0.002527
"teds_2024_ind","ethnicity","Q2",89,"外籍人士",5,0.004212
"teds_2024_ind","party_dpp","P2b",0,"非常不喜歡",130,0.112554
"teds_2024_ind","party_dpp","P2b",1,"1",44,0.038095
"teds_2024_ind","party_dpp","P2b",2,"2",73,0.063203
"teds_2024_ind","party_dpp","P2b",3,"3",103,0.089177
"teds_2024_ind","party_dpp","P2b",4,"4",94,0.081385
"teds_2024_ind","party_dpp","P2b",5,"5",238,0.206061
"teds_2024_ind","party_dpp","P2b",6,"6",117,0.101299
"teds_2024_ind","party_dpp","P2b",7,"7",91,0.078788
"teds_2024_ind","party_dpp","P2b",8,"8",131,0.11342
"teds_2024_ind","party_dpp","P2b",9,"9",50,0.04329
"teds_2024_ind","party_dpp","P2b",10,"非常喜歡",84,0.072727
"teds_2024_ind","party_kmt","P2a",0,"非常不喜歡",122,0.106087
"teds_2024_ind","party_kmt","P2a",1,"1",34,0.029565
"teds_2024_ind","party_kmt","P2a",2,"2",76,0.066087
"teds_2024_ind","party_kmt","P2a",3,"3",137,0.11913
"teds_2024_ind","party_kmt","P2a",4,"4",105,0.091304
"teds_2024_ind","party_kmt","P2a",5,"5",299,0.26
"teds_2024_ind","party_kmt","P2a",6,"6",125,0.108696
"teds_2024_ind","party_kmt","P2a",7,"7",101,0.087826
"teds_2024_ind","party_kmt","P2a",8,"8",88,0.076522
"teds_2024_ind","party_kmt","P2a",9,"9",21,0.018261
"teds_2024_ind","party_kmt","P2a",10,"非常喜歡",42,0.036522
"teds_2024_ind","party_tpp","P2c",0,"非常不喜歡",147,0.130551
"teds_2024_ind","party_tpp","P2c",1,"1",70,0.062167
"teds_2024_ind","party_tpp","P2c",2,"2",87,0.077265
"teds_2024_ind","party_tpp","P2c",3,"3",117,0.103908
"teds_2024_ind","party_tpp","P2c",4,"4",90,0.079929
"teds_2024_ind","party_tpp","P2c",5,"5",300,0.26643
"teds_2024_ind","party_tpp","P2c",6,"6",113,0.100355
"teds_2024_ind","party_tpp","P2c",7,"7",97,0.086146
"teds_2024_ind","party_tpp","P2c",8,"8",63,0.05595
"teds_2024_ind","party_tpp","P2c",9,"9",15,0.013321
"teds_2024_ind","party_tpp","P2c",10,"非常喜歡",27,0.023979
"teds_2024_ind","sex","SEX",1,"男性",641,0.531509
"teds_2024_ind","sex","SEX",2,"女性",565,0.468491
