"source","variable","var","code","label","N","prop"
"teds_2024_pan","age","PAGE",1,"20至29歲",176,0.089567
"teds_2024_pan","age","PAGE",2,"30至39歲",266,0.135369
"teds_2024_pan","age","PAGE",3,"40至49歲",407,0.207125
"teds_2024_pan","age","PAGE",4,"50至59歲",340,0.173028
"teds_2024_pan","age","PAGE",5,"60歲及以上",776,0.394911
"teds_2024_pan","arear","PAREAR",1,"北北基宜蘭區",573,0.290568
"teds_2024_pan","arear","PAREAR",2,"桃竹苗區",301,0.152637
"teds_2024_pan","arear","PAREAR",3,"中彰投區",346,0.175456
"teds_2024_pan","arear","PAREAR",4,"雲嘉南區",325,0.164807
"teds_2024_pan","arear","PAREAR",5,"高屏澎湖區",360,0.182556
"teds_2024_pan","arear","PAREAR",6,"花東外島區",67,0.033976
"teds_2024_pan","city","PCity",2,"宜蘭縣",59,0.029919
"teds_2024_pan","city","PCity",4,"新竹縣",50,0.025355
"teds_2024_pan","city","PCity",5,"苗栗縣",57,0.028905
"teds_2024_pan","city","PCity",7,"彰化縣",99,0.050203
"teds_2024_pan","city","PCity",8,"南投縣",41,0.020791
"teds_2024_pan","city","PCity",9,"雲林縣",47,0.023834
"teds_2024_pan","city","PCity",10,"嘉義縣",108,0.054767
"teds_2024_pan","city","PCity",13,"屏東縣",129,0.065416
"teds_2024_pan","city","PCity",14,"台東縣",31,0.01572
"teds_2024_pan","city","PCity",15,"花蓮縣",36,0.018256
"teds_2024_pan","city","PCity",17,"基隆市",65,0.032961
"teds_2024_pan","city","PCity",18,"新竹市",53,0.026876
"teds_2024_pan","city","PCity",63,"台北市",208,0.105477
"teds_2024_pan","city","PCity",64,"高雄市",231,0.11714
"teds_2024_pan","city","PCity",65,"新北市",241,0.122211
"teds_2024_pan","city","PCity",66,"台中市",206,0.104462
"teds_2024_pan","city","PCity",67,"台南市",170,0.086207
"teds_2024_pan","city","PCity",68,"桃園市",141,0.071501
"teds_2024_pan","edu","PEDU",1,"小學及以下",232,0.117766
"teds_2024_pan","edu","PEDU",2,"國、初中",197,0.1
"teds_2024_pan","edu","PEDU",3,"高中、職",518,0.262944
"teds_2024_pan","edu","PEDU",4,"專科",247,0.125381
"teds_2024_pan","edu","PEDU",5,"大學及以上",776,0.393909
"teds_2024_pan","ethnicity","PQ2",1,"本省客家人",251,0.128258
"teds_2024_pan","ethnicity","PQ2",2,"本省閩南人",1488,0.760347
"teds_2024_pan","ethnicity","PQ2",3,"大陸各省市",188,0.096065
"teds_2024_pan","ethnicity","PQ2",4,"原住民",15,0.007665
"teds_2024_pan","ethnicity","PQ2",5,"大陸新住民",4,0.002044
"teds_2024_pan","ethnicity","PQ2",6,"外國新住民",7,0.003577
"teds_2024_pan","ethnicity","PQ2",89,"外籍人士",4,0.002044
"teds_2024_pan","party_dpp","PP2b",0,"非常不喜歡",168,0.087683
"teds_2024_pan","party_dpp","PP2b",1,"1",65,0.033925
"teds_2024_pan","party_dpp","PP2b",2,"2",110,0.057411
"teds_2024_pan","party_dpp","PP2b",3,"3",147,0.076722
"teds_2024_pan","party_dpp","PP2b",4,"4",147,0.076722
"teds_2024_pan","party_dpp","PP2b",5,"5",435,0.227035
"teds_2024_pan","party_dpp","PP2b",6,"6",174,0.090814
"teds_2024_pan","party_dpp","PP2b",7,"7",176,0.091858
"teds_2024_pan","party_dpp","PP2b",8,"8",215,0.112213
"teds_2024_pan","party_dpp","PP2b",9,"9",107,0.055846
"teds_2024_pan","party_dpp","PP2b",10,"非常喜歡",172,0.08977
"teds_2024_pan","party_kmt","PP2a",0,"非常不喜歡",197,0.103141
"teds_2024_pan","party_kmt","PP2a",1,"1",66,0.034555
"teds_2024_pan","party_kmt","PP2a",2,"2",123,0.064398
"teds_2024_pan","party_kmt","PP2a",3,"3",220,0.115183
"teds_2024_pan","party_kmt","PP2a",4,"4",200,0.104712
"teds_2024_pan","party_kmt","PP2a",5,"5",509,0.266492
"teds_2024_pan","party_kmt","PP2a",6,"6",208,0.108901
"teds_2024_pan","party_kmt","PP2a",7,"7",159,0.083246
"teds_2024_pan","party_kmt","PP2a",8,"8",131,0.068586
"teds_2024_pan","party_kmt","PP2a",9,"9",31,0.01623
"teds_2024_pan","party_kmt","PP2a",10,"非常喜歡",66,0.034555
"teds_2024_pan","party_tpp","PP2c",0,"非常不喜歡",231,0.124528
"teds_2024_pan","party_tpp","PP2c",1,"1",96,0.051752
"teds_2024_pan","party_tpp","PP2c",2,"2",143,0.077089
"teds_2024_pan","party_tpp","PP2c",3,"3",209,0.112668
"teds_2024_pan","party_tpp","PP2c",4,"4",173,0.093261
"teds_2024_pan","party_tpp","PP2c",5,"5",473,0.254987
"teds_2024_pan","party_tpp","PP2c",6,"6",182,0.098113
"teds_2024_pan","party_tpp","PP2c",7,"7",159,0.085714
"teds_2024_pan","party_tpp","PP2c",8,"8",117,0.063073
"teds_2024_pan","party_tpp","PP2c",9,"9",36,0.019407
"teds_2024_pan","party_tpp","PP2c",10,"非常喜歡",36,0.019407
"teds_2024_pan","sex","PSEX",1,"男性",992,0.503043
"teds_2024_pan","sex","PSEX",2,"女性",980,0.496957
