"source","variable","var","code","label","N","prop"
"teds_2025","age","AGE",1,"18至19歲",44,0.015204
"teds_2025","age","AGE",2,"20至29歲",256,0.088459
"teds_2025","age","AGE",3,"30至39歲",364,0.125777
"teds_2025","age","AGE",4,"40至49歲",568,0.196268
"teds_2025","age","AGE",5,"50至59歲",517,0.178645
"teds_2025","age","AGE",6,"60歲及以上",1145,0.395646
"teds_2025","arear","AREAR",1,"北北基宜蘭區",957,0.33
"teds_2025","arear","AREAR",2,"桃竹苗區",507,0.174828
"teds_2025","arear","AREAR",3,"中彰投區",545,0.187931
"teds_2025","arear","AREAR",4,"雲嘉南區",455,0.156897
"teds_2025","arear","AREAR",5,"高屏區",351,0.121034
"teds_2025","arear","AREAR",6,"花東區",85,0.02931
"teds_2025","city","City",2,"宜蘭縣",104,0.035862
"teds_2025","city","City",4,"新竹縣",109,0.037586
"teds_2025","city","City",5,"苗栗縣",96,0.033103
"teds_2025","city","City",7,"彰化縣",158,0.054483
"teds_2025","city","City",8,"南投縣",80,0.027586
"teds_2025","city","City",9,"雲林縣",165,0.056897
"teds_2025","city","City",10,"嘉義縣",89,0.03069
"teds_2025","city","City",13,"屏東縣",105,0.036207
"teds_2025","city","City",14,"臺東縣",42,0.014483
"teds_2025","city","City",15,"花蓮縣",43,0.014828
"teds_2025","city","City",17,"基隆市",114,0.03931
"teds_2025","city","City",18,"新竹市",72,0.024828
"teds_2025","city","City",63,"臺北市",280,0.096552
"teds_2025","city","City",64,"高雄市",246,0.084828
"teds_2025","city","City",65,"新北市",459,0.158276
"teds_2025","city","City",66,"臺中市",307,0.105862
"teds_2025","city","City",67,"臺南市",201,0.06931
"teds_2025","city","City",68,"桃園市",230,0.07931
"teds_2025","edu","EDU",1,"小學及以下",297,0.102449
"teds_2025","edu","EDU",2,"國、初中",289,0.09969
"teds_2025","edu","EDU",3,"高中、職",729,0.251466
"teds_2025","edu","EDU",4,"專科",376,0.1297
"teds_2025","edu","EDU",5,"大學及以上",1208,0.416695
"teds_2025","ethnicity","H2a",1,"本省客家人",299,0.104254
"teds_2025","ethnicity","H2a",2,"本省閩南人",2212,0.771269
"teds_2025","ethnicity","H2a",3,"大陸各省市",303,0.105649
"teds_2025","ethnicity","H2a",4,"原住民",26,0.009066
"teds_2025","ethnicity","H2a",5,"大陸新住民",3,0.001046
"teds_2025","ethnicity","H2a",6,"外國新住民",6,0.002092
"teds_2025","ethnicity","H2a",88,"台灣僑胞/華僑",3,0.001046
"teds_2025","ethnicity","H2a",89,"外籍人士",7,0.002441
"teds_2025","ethnicity","H2a",91,"台灣人",9,0.003138
"teds_2025","party_dpp","G2b",0,"非常不喜歡",296,0.106246
"teds_2025","party_dpp","G2b",1,"1",135,0.048457
"teds_2025","party_dpp","G2b",2,"2",171,0.061378
"teds_2025","party_dpp","G2b",3,"3",309,0.110912
"teds_2025","party_dpp","G2b",4,"4",213,0.076454
"teds_2025","party_dpp","G2b",5,"5",678,0.24336
"teds_2025","party_dpp","G2b",6,"6",237,0.085068
"teds_2025","party_dpp","G2b",7,"7",244,0.087581
"teds_2025","party_dpp","G2b",8,"8",267,0.095836
"teds_2025","party_dpp","G2b",9,"9",107,0.038406
"teds_2025","party_dpp","G2b",10,"非常喜歡",129,0.046303
"teds_2025","party_kmt","G2a",0,"非常不喜歡",355,0.127606
"teds_2025","party_kmt","G2a",1,"1",116,0.041697
"teds_2025","party_kmt","G2a",2,"2",192,0.069015
"teds_2025","party_kmt","G2a",3,"3",305,0.109633
"teds_2025","party_kmt","G2a",4,"4",216,0.077642
"teds_2025","party_kmt","G2a",5,"5",822,0.295471
"teds_2025","party_kmt","G2a",6,"6",309,0.111071
"teds_2025","party_kmt","G2a",7,"7",224,0.080518
"teds_2025","party_kmt","G2a",8,"8",145,0.052121
"teds_2025","party_kmt","G2a",9,"9",35,0.012581
"teds_2025","party_kmt","G2a",10,"非常喜歡",63,0.022646
"teds_2025","party_tpp","G2c",0,"非常不喜歡",448,0.166667
"teds_2025","party_tpp","G2c",1,"1",160,0.059524
"teds_2025","party_tpp","G2c",2,"2",232,0.08631
"teds_2025","party_tpp","G2c",3,"3",293,0.109003
"teds_2025","party_tpp","G2c",4,"4",275,0.102307
"teds_2025","party_tpp","G2c",5,"5",776,0.28869
"teds_2025","party_tpp","G2c",6,"6",240,0.089286
"teds_2025","party_tpp","G2c",7,"7",121,0.045015
"teds_2025","party_tpp","G2c",8,"8",79,0.02939
"teds_2025","party_tpp","G2c",9,"9",34,0.012649
"teds_2025","party_tpp","G2c",10,"非常喜歡",30,0.011161
"teds_2025","sex","SEX",1,"男性",1466,0.505517
"teds_2025","sex","SEX",2,"女性",1434,0.494483
