"sex","age","edu","arear","party_kmt","party_dpp","party_tpp","n_teds","n_teds_wt","N_target"
"女性","20至29歲","專科及以上","中彰投區","0-4 冷淡","0-4 冷淡","0-4 冷淡",2,3.0706555218757,3.07065552187566
"女性","20至29歲","專科及以上","中彰投區","0-4 冷淡","6-10 溫暖","0-4 冷淡",2,3.0706555218757,3.07065552187566
"女性","20至29歲","專科及以上","中彰投區","0-4 冷淡","6-10 溫暖","5 中間",1,1.53532776093785,1.53532776093783
"女性","20至29歲","專科及以上","中彰投區","5 中間","0-4 冷淡","6-10 溫暖",1,1.53532776093785,1.53532776093783
"女性","20至29歲","專科及以上","中彰投區","5 中間","5 中間","0-4 冷淡",1,1.66168421814032,1.6616842181403
"女性","20至29歲","專科及以上","中彰投區","5 中間","5 中間","5 中間",4,6.26766750095388,6.2676675009538
"女性","20至29歲","專科及以上","中彰投區","5 中間","6-10 溫暖","0-4 冷淡",1,1.53532776093785,1.53532776093783
"女性","20至29歲","專科及以上","中彰投區","6-10 溫暖","0-4 冷淡","5 中間",1,1.53532776093785,1.53532776093783
"女性","20至29歲","專科及以上","中彰投區","6-10 溫暖","5 中間","6-10 溫暖",2,3.0706555218757,3.07065552187566
"女性","20至29歲","專科及以上","北北基宜蘭區","0-4 冷淡","0-4 冷淡","0-4 冷淡",4,5.99766015496496,5.99766015496488
"女性","20至29歲","專科及以上","北北基宜蘭區","0-4 冷淡","0-4 冷淡","5 中間",3,4.49824511622372,4.49824511622366
"女性","20至29歲","專科及以上","北北基宜蘭區","0-4 冷淡","6-10 溫暖","0-4 冷淡",4,5.99766015496496,5.99766015496488
"女性","20至29歲","專科及以上","北北基宜蘭區","5 中間","0-4 冷淡","6-10 溫暖",1,1.49941503874124,1.49941503874122
"女性","20至29歲","專科及以上","北北基宜蘭區","5 中間","5 中間","0-4 冷淡",1,1.49941503874124,1.49941503874122
"女性","20至29歲","專科及以上","北北基宜蘭區","5 中間","5 中間","5 中間",3,4.62164598019019,4.62164598019013
"女性","20至29歲","專科及以上","北北基宜蘭區","5 中間","5 中間","6-10 溫暖",2,2.99883007748248,2.99883007748244
"女性","20至29歲","專科及以上","北北基宜蘭區","6-10 溫暖","0-4 冷淡","0-4 冷淡",1,1.62281590270771,1.62281590270769
"女性","20至29歲","專科及以上","北北基宜蘭區","6-10 溫暖","0-4 冷淡","6-10 溫暖",1,1.49941503874124,1.49941503874122
"女性","20至29歲","專科及以上","北北基宜蘭區","6-10 溫暖","5 中間","0-4 冷淡",2,2.99883007748248,2.99883007748244
"女性","20至29歲","專科及以上","北北基宜蘭區","6-10 溫暖","6-10 溫暖","0-4 冷淡",2,2.99883007748248,2.99883007748244
"女性","20至29歲","專科及以上","桃竹苗區","0-4 冷淡","0-4 冷淡","0-4 冷淡",1,1.41162926792129,1.41162926792127
"女性","20至29歲","專科及以上","桃竹苗區","0-4 冷淡","6-10 溫暖","0-4 冷淡",2,2.82325853584258,2.82325853584254
"女性","20至29歲","專科及以上","桃竹苗區","0-4 冷淡","6-10 溫暖","5 中間",1,1.41162926792129,1.41162926792127
"女性","20至29歲","專科及以上","桃竹苗區","5 中間","0-4 冷淡","6-10 溫暖",1,1.41162926792129,1.41162926792127
"女性","20至29歲","專科及以上","桃竹苗區","5 中間","5 中間","5 中間",5,7.17432249281355,7.17432249281345
"女性","20至29歲","專科及以上","桃竹苗區","5 中間","5 中間","6-10 溫暖",2,2.82325853584258,2.82325853584254
"女性","20至29歲","專科及以上","桃竹苗區","6-10 溫暖","6-10 溫暖","6-10 溫暖",2,2.82325853584258,2.82325853584254
"女性","20至29歲","專科及以上","花東區","0-4 冷淡","0-4 冷淡","0-4 冷淡",1,1.18746929176574,1.18746929176572
"女性","20至29歲","專科及以上","花東區","6-10 溫暖","5 中間","5 中間",1,1.18746929176574,1.18746929176572
"女性","20至29歲","專科及以上","雲嘉南區","0-4 冷淡","0-4 冷淡","0-4 冷淡",2,2.6457020279002,2.64570202790016
"女性","20至29歲","專科及以上","雲嘉南區","0-4 冷淡","0-4 冷淡","6-10 溫暖",1,1.3228510139501,1.32285101395008
"女性","20至29歲","專科及以上","雲嘉南區","0-4 冷淡","5 中間","0-4 冷淡",2,2.6457020279002,2.64570202790016
"女性","20至29歲","專科及以上","雲嘉南區","0-4 冷淡","6-10 溫暖","0-4 冷淡",3,3.9685530418503,3.96855304185025
"女性","20至29歲","專科及以上","雲嘉南區","0-4 冷淡","6-10 溫暖","5 中間",1,1.3228510139501,1.32285101395008
"女性","20至29歲","專科及以上","雲嘉南區","5 中間","0-4 冷淡","6-10 溫暖",2,2.6457020279002,2.64570202790016
"女性","20至29歲","專科及以上","雲嘉南區","5 中間","5 中間","5 中間",4,5.29140405580039,5.29140405580032
"女性","20至29歲","專科及以上","雲嘉南區","5 中間","5 中間","6-10 溫暖",1,1.3228510139501,1.32285101395008
"女性","20至29歲","專科及以上","雲嘉南區","5 中間","6-10 溫暖","5 中間",1,1.3228510139501,1.32285101395008
"女性","20至29歲","專科及以上","雲嘉南區","5 中間","6-10 溫暖","6-10 溫暖",1,1.3228510139501,1.32285101395008
"女性","20至29歲","專科及以上","雲嘉南區","6-10 溫暖","0-4 冷淡","5 中間",1,1.3228510139501,1.32285101395008
"女性","20至29歲","專科及以上","雲嘉南區","6-10 溫暖","5 中間","5 中間",1,1.3228510139501,1.32285101395008
"女性","20至29歲","專科及以上","雲嘉南區","6-10 溫暖","5 中間","6-10 溫暖",1,1.3228510139501,1.32285101395008
"女性","20至29歲","專科及以上","雲嘉南區","6-10 溫暖","6-10 溫暖","5 中間",1,1.3228510139501,1.32285101395008
"女性","20至29歲","專科及以上","高屏區","0-4 冷淡","0-4 冷淡","0-4 冷淡",3,5.68401456550299,5.68401456550291
"女性","20至29歲","專科及以上","高屏區","0-4 冷淡","5 中間","0-4 冷淡",1,1.89467152183433,1.8946715218343
"女性","20至29歲","專科及以上","高屏區","0-4 冷淡","6-10 溫暖","0-4 冷淡",2,3.94527325424152,3.94527325424147
"女性","20至29歲","專科及以上","高屏區","0-4 冷淡","6-10 溫暖","6-10 溫暖",1,1.89467152183433,1.8946715218343
"女性","20至29歲","專科及以上","高屏區","5 中間","0-4 冷淡","6-10 溫暖",1,1.89467152183433,1.8946715218343
"女性","20至29歲","專科及以上","高屏區","5 中間","5 中間","5 中間",3,5.83994477607586,5.83994477607578
"女性","20至29歲","專科及以上","高屏區","5 中間","6-10 溫暖","6-10 溫暖",1,1.89467152183433,1.8946715218343
"女性","20至29歲","高中職及以下","中彰投區","0-4 冷淡","0-4 冷淡","0-4 冷淡",1,2.516101546,2.51610154599997
"女性","20至29歲","高中職及以下","北北基宜蘭區","5 中間","5 中間","5 中間",1,2.457247626,2.45724762599997
"女性","20至29歲","高中職及以下","花東區","6-10 溫暖","0-4 冷淡","5 中間",1,1.65285374008175,1.65285374008173
"女性","20至29歲","高中職及以下","花東區","6-10 溫暖","6-10 溫暖","6-10 溫暖",1,1.65285374008175,1.65285374008173
"女性","20至29歲","高中職及以下","雲嘉南區","6-10 溫暖","0-4 冷淡","0-4 冷淡",1,1.84129329586882,1.8412932958688
"女性","20至29歲","高中職及以下","雲嘉南區","6-10 溫暖","0-4 冷淡","5 中間",1,1.84129329586882,1.8412932958688
