"variable","in_raking","collapse_version","label","n_sample","pct_sample","pct_target","pct_raked"
"sex",TRUE,"原始","男性",1622,51.85,50.66,48.31
"sex",TRUE,"原始","女性",1506,48.15,49.34,51.69
"age",TRUE,"A2","20至29歲",810,25.9,14.16,13.75
"age",TRUE,"A2","30至39歲",995,31.81,16.65,17.15
"age",TRUE,"A2","40至49歲",845,27.01,20.8,21.28
"age",TRUE,"A2","50至59歲",326,10.42,18.4,17.95
"age",TRUE,"A2","60歲及以上",152,4.86,29.99,29.88
"edu",TRUE,"B","高中職及以下",356,11.38,45.5,45.04
"edu",TRUE,"B","專科",289,9.24,11.8,11.4
"edu",TRUE,"B","大學及以上",2483,79.38,42.7,43.56
"arear",TRUE,"A","北北基宜蘭區",1298,41.5,32.28,31.86
"arear",TRUE,"A","桃竹苗區",473,15.12,16.67,15.27
"arear",TRUE,"A","中彰投區",507,16.21,18.85,21.04
"arear",TRUE,"A","雲嘉南區",381,12.18,14.37,13.58
"arear",TRUE,"A","高屏區",425,13.59,15.4,16.28
"arear",TRUE,"A","花東區",44,1.41,2.43,1.97
"ethnicity",FALSE,"4class","本省客家人",255,8.15,10.25,9.07
"ethnicity",FALSE,"4class","本省閩南人",2586,82.67,78.57,80.84
"ethnicity",FALSE,"4class","大陸各省市",266,8.5,9.2,9.38
"ethnicity",FALSE,"4class","其他",21,0.67,1.98,0.7
"party_kmt",TRUE,"C","0-4 冷淡",1918,61.32,42.94,44.42
"party_kmt",TRUE,"C","5 中間",594,18.99,30.8,30.34
"party_kmt",TRUE,"C","6-10 溫暖",616,19.69,26.26,25.24
"party_dpp",TRUE,"C","0-4 冷淡",1740,55.63,40.07,39.97
"party_dpp",TRUE,"C","5 中間",541,17.3,25.87,26.42
"party_dpp",TRUE,"C","6-10 溫暖",847,27.08,34.07,33.61
"party_tpp",TRUE,"C","0-4 冷淡",1587,50.74,50.74,48.85
"party_tpp",TRUE,"C","5 中間",709,22.67,29.77,32.47
"party_tpp",TRUE,"C","6-10 溫暖",832,26.6,19.49,18.68
