"variable","in_raking","collapse_version","label","n_sample","pct_sample","pct_target","pct_raked"
"sex",TRUE,"原始","男性",1622,51.85,50.66,51.14
"sex",TRUE,"原始","女性",1506,48.15,49.34,48.86
"age",TRUE,"A2","20至29歲",810,25.9,14.16,17.37
"age",TRUE,"A2","30至39歲",995,31.81,16.65,21.86
"age",TRUE,"A2","40至49歲",845,27.01,20.8,26.67
"age",TRUE,"A2","50至59歲",326,10.42,18.4,19.28
"age",TRUE,"A2","60歲及以上",152,4.86,29.99,14.81
"edu",TRUE,"B","高中職及以下",356,11.38,45.5,30.71
"edu",TRUE,"B","專科",289,9.24,11.8,13.66
"edu",TRUE,"B","大學及以上",2483,79.38,42.7,55.63
"arear",TRUE,"A","北北基宜蘭區",1298,41.5,32.28,35.52
"arear",TRUE,"A","桃竹苗區",473,15.12,16.67,15.05
"arear",TRUE,"A","中彰投區",507,16.21,18.85,19.37
"arear",TRUE,"A","雲嘉南區",381,12.18,14.37,14.26
"arear",TRUE,"A","高屏區",425,13.59,15.4,13.84
"arear",TRUE,"A","花東區",44,1.41,2.43,1.95
"ethnicity",FALSE,"4class","本省客家人",255,8.15,10.25,8.21
"ethnicity",FALSE,"4class","本省閩南人",2586,82.67,78.57,80.67
"ethnicity",FALSE,"4class","大陸各省市",266,8.5,9.2,10.38
"ethnicity",FALSE,"4class","其他",21,0.67,1.98,0.75
"party_kmt",TRUE,"C","0-4 冷淡",1918,61.32,42.94,46.91
"party_kmt",TRUE,"C","5 中間",594,18.99,30.8,27.55
"party_kmt",TRUE,"C","6-10 溫暖",616,19.69,26.26,25.54
"party_dpp",TRUE,"C","0-4 冷淡",1740,55.63,40.07,45.59
"party_dpp",TRUE,"C","5 中間",541,17.3,25.87,23.23
"party_dpp",TRUE,"C","6-10 溫暖",847,27.08,34.07,31.18
"party_tpp",TRUE,"C","0-4 冷淡",1587,50.74,50.74,48.85
"party_tpp",TRUE,"C","5 中間",709,22.67,29.77,29.07
"party_tpp",TRUE,"C","6-10 溫暖",832,26.6,19.49,22.08
