"sex","age","edu","arear","ethnicity","party_kmt","party_dpp","party_tpp","n","n_wt","prop","prop_wt","cell"
"女性","60歲及以上","高中、職","北北基宜蘭區","本省閩南人","00","10","00",3,3.301854486,0.00269541778975741,0.00296142488811342,"女性 | 60歲及以上 | 高中、職 | 北北基宜蘭區 | 本省閩南人 | 00 | 10 | 00"
"男性","60歲及以上","高中、職","高屏澎湖區","本省閩南人","00","10","00",3,2.161221513,0.00269541778975741,0.00193839407655966,"男性 | 60歲及以上 | 高中、職 | 高屏澎湖區 | 本省閩南人 | 00 | 10 | 00"
"女性","20至29歲","大學及以上","北北基宜蘭區","本省閩南人","05","05","05",2,3.48648611,0.00179694519317161,0.00312702052195032,"女性 | 20至29歲 | 大學及以上 | 北北基宜蘭區 | 本省閩南人 | 05 | 05 | 05"
"女性","30至39歲","大學及以上","桃竹苗區","本省客家人","08","00","08",2,2.599764706,0.00179694519317161,0.00233172235064609,"女性 | 30至39歲 | 大學及以上 | 桃竹苗區 | 本省客家人 | 08 | 00 | 08"
"女性","40至49歲","大學及以上","北北基宜蘭區","本省閩南人","00","08","00",2,2.164554206,0.00179694519317161,0.00194138316043252,"女性 | 40至49歲 | 大學及以上 | 北北基宜蘭區 | 本省閩南人 | 00 | 08 | 00"
"女性","40至49歲","大學及以上","高屏澎湖區","本省閩南人","05","05","05",2,1.80253024,0.00179694519317161,0.00161668478636676,"女性 | 40至49歲 | 大學及以上 | 高屏澎湖區 | 本省閩南人 | 05 | 05 | 05"
"女性","50至59歲","高中、職","中彰投區","本省閩南人","05","05","05",2,2.277516034,0.00179694519317161,0.00204269833657502,"女性 | 50至59歲 | 高中、職 | 中彰投區 | 本省閩南人 | 05 | 05 | 05"
"女性","60歲及以上","國、初中","中彰投區","本省閩南人","05","05","05",2,2.31273189,0.00179694519317161,0.00207428334822735,"女性 | 60歲及以上 | 國、初中 | 中彰投區 | 本省閩南人 | 05 | 05 | 05"
"女性","60歲及以上","國、初中","北北基宜蘭區","本省客家人","05","05","03",2,3.050331996,0.00179694519317161,0.00273583500674084,"女性 | 60歲及以上 | 國、初中 | 北北基宜蘭區 | 本省客家人 | 05 | 05 | 03"
"女性","60歲及以上","國、初中","桃竹苗區","本省客家人","05","05","05",2,2.6234719,0.00179694519317161,0.00235298527263027,"女性 | 60歲及以上 | 國、初中 | 桃竹苗區 | 本省客家人 | 05 | 05 | 05"
"女性","60歲及以上","專科","北北基宜蘭區","本省閩南人","05","05","05",2,1.61903849,0.00179694519317161,0.00145211150262046,"女性 | 60歲及以上 | 專科 | 北北基宜蘭區 | 本省閩南人 | 05 | 05 | 05"
"女性","60歲及以上","小學及以下","北北基宜蘭區","本省閩南人","00","10","00",2,2.248860618,0.00179694519317161,0.00201699736686801,"女性 | 60歲及以上 | 小學及以下 | 北北基宜蘭區 | 本省閩南人 | 00 | 10 | 00"
"女性","60歲及以上","小學及以下","高屏澎湖區","本省閩南人","00","10","00",2,1.872736316,0.00179694519317161,0.00167965243731708,"女性 | 60歲及以上 | 小學及以下 | 高屏澎湖區 | 本省閩南人 | 00 | 10 | 00"
"女性","60歲及以上","高中、職","中彰投區","大陸各省市","10","00","05",2,1.668955854,0.00179694519317161,0.0014968822593953,"女性 | 60歲及以上 | 高中、職 | 中彰投區 | 大陸各省市 | 10 | 00 | 05"
"男性","20至29歲","大學及以上","雲嘉南區","本省閩南人","05","05","05",2,2.037867348,0.00179694519317161,0.00182775803980142,"男性 | 20至29歲 | 大學及以上 | 雲嘉南區 | 本省閩南人 | 05 | 05 | 05"
"男性","20至29歲","高中、職","高屏澎湖區","本省閩南人","05","05","06",2,3.782493004,0.00179694519317161,0.00339250835209595,"男性 | 20至29歲 | 高中、職 | 高屏澎湖區 | 本省閩南人 | 05 | 05 | 06"
"男性","30至39歲","大學及以上","中彰投區","本省閩南人","05","05","05",2,1.801400068,0.00179694519317161,0.00161567113797528,"男性 | 30至39歲 | 大學及以上 | 中彰投區 | 本省閩南人 | 05 | 05 | 05"
"男性","30至39歲","大學及以上","雲嘉南區","本省閩南人","05","05","05",2,1.766821636,0.00179694519317161,0.00158465783028685,"男性 | 30至39歲 | 大學及以上 | 雲嘉南區 | 本省閩南人 | 05 | 05 | 05"
"男性","30至39歲","高中、職","北北基宜蘭區","本省閩南人","05","10","05",2,3.938046484,0.00179694519317161,0.00353202387255813,"男性 | 30至39歲 | 高中、職 | 北北基宜蘭區 | 本省閩南人 | 05 | 10 | 05"
"男性","40至49歲","大學及以上","桃竹苗區","本省閩南人","06","03","05",2,1.463271896,0.00179694519317161,0.00131240484075388,"男性 | 40至49歲 | 大學及以上 | 桃竹苗區 | 本省閩南人 | 06 | 03 | 05"
"男性","40至49歲","高中、職","中彰投區","本省閩南人","05","05","05",2,2.138074064,0.00179694519317161,0.00191763318844191,"男性 | 40至49歲 | 高中、職 | 中彰投區 | 本省閩南人 | 05 | 05 | 05"
