"dataset","year","variable","var","value","label","n","pct_all","pct_valid","cum_pct_valid"
"2024_ind",2024,"性別","SEX",1,"男性",641,53.15,53.15,53.15
"2024_ind",2024,"性別","SEX",2,"女性",565,46.85,46.85,100
"2024_ind",2024,"性別","SEX",NA,"總計（有效＋非實質回答）",1206,100,NA,NA
"2024_ind",2024,"性別","SEX",NA,"未受訪／系統遺漏（不計入分母）",0,NA,NA,NA
"2024_ind",2024,"年齡","AGE",1,"20至29歲",127,10.53,10.57,10.57
"2024_ind",2024,"年齡","AGE",2,"30至39歲",157,13.02,13.07,23.64
"2024_ind",2024,"年齡","AGE",3,"40至49歲",235,19.49,19.57,43.21
"2024_ind",2024,"年齡","AGE",4,"50至59歲",215,17.83,17.9,61.11
"2024_ind",2024,"年齡","AGE",5,"60歲及以上",467,38.72,38.88,99.99
"2024_ind",2024,"年齡","AGE",9,"無反應",5,0.41,NA,NA
"2024_ind",2024,"年齡","AGE",NA,"總計（有效＋非實質回答）",1206,100,NA,NA
"2024_ind",2024,"年齡","AGE",NA,"未受訪／系統遺漏（不計入分母）",0,NA,NA,NA
"2024_ind",2024,"教育程度","EDU",1,"小學及以下",135,11.19,11.2,11.2
"2024_ind",2024,"教育程度","EDU",2,"國、初中",99,8.21,8.22,19.42
"2024_ind",2024,"教育程度","EDU",3,"高中、職",292,24.21,24.23,43.65
"2024_ind",2024,"教育程度","EDU",4,"專科",160,13.27,13.28,56.93
"2024_ind",2024,"教育程度","EDU",5,"大學及以上",519,43.03,43.07,100
"2024_ind",2024,"教育程度","EDU",9,"無反應",1,0.08,NA,NA
"2024_ind",2024,"教育程度","EDU",NA,"總計（有效＋非實質回答）",1206,100,NA,NA
"2024_ind",2024,"教育程度","EDU",NA,"未受訪／系統遺漏（不計入分母）",0,NA,NA,NA
"2024_ind",2024,"省籍（父親）","Q2",1,"本省客家人",140,11.61,11.79,11.79
"2024_ind",2024,"省籍（父親）","Q2",2,"本省閩南人",881,73.05,74.22,86.01
"2024_ind",2024,"省籍（父親）","Q2",3,"大陸各省市",142,11.77,11.96,97.97
"2024_ind",2024,"省籍（父親）","Q2",4,"原住民",15,1.24,1.26,99.23
"2024_ind",2024,"省籍（父親）","Q2",5,"大陸新住民",1,0.08,0.08,99.31
"2024_ind",2024,"省籍（父親）","Q2",6,"外國新住民",3,0.25,0.25,99.56
"2024_ind",2024,"省籍（父親）","Q2",89,"外籍人士",5,0.41,0.42,99.98
"2024_ind",2024,"省籍（父親）","Q2",95,"拒答",1,0.08,NA,NA
"2024_ind",2024,"省籍（父親）","Q2",98,"不知道",18,1.49,NA,NA
"2024_ind",2024,"省籍（父親）","Q2",NA,"總計（有效＋非實質回答）",1206,100,NA,NA
"2024_ind",2024,"省籍（父親）","Q2",NA,"未受訪／系統遺漏（不計入分母）",0,NA,NA,NA
"2024_ind",2024,"居住縣市","City",2,"宜蘭縣",32,2.65,2.65,2.65
"2024_ind",2024,"居住縣市","City",4,"新竹縣",34,2.82,2.82,5.47
"2024_ind",2024,"居住縣市","City",5,"苗栗縣",33,2.74,2.74,8.21
"2024_ind",2024,"居住縣市","City",7,"彰化縣",68,5.64,5.64,13.85
"2024_ind",2024,"居住縣市","City",8,"南投縣",31,2.57,2.57,16.42
"2024_ind",2024,"居住縣市","City",9,"雲林縣",32,2.65,2.65,19.07
"2024_ind",2024,"居住縣市","City",10,"嘉義縣",62,5.14,5.14,24.21
"2024_ind",2024,"居住縣市","City",13,"屏東縣",64,5.31,5.31,29.52
"2024_ind",2024,"居住縣市","City",14,"台東縣",19,1.58,1.58,31.1
"2024_ind",2024,"居住縣市","City",15,"花蓮縣",19,1.58,1.58,32.68
"2024_ind",2024,"居住縣市","City",17,"基隆市",33,2.74,2.74,35.42
"2024_ind",2024,"居住縣市","City",18,"新竹市",33,2.74,2.74,38.16
"2024_ind",2024,"居住縣市","City",63,"台北市",143,11.86,11.86,50.02
"2024_ind",2024,"居住縣市","City",64,"高雄市",129,10.7,10.7,60.72
"2024_ind",2024,"居住縣市","City",65,"新北市",133,11.03,11.03,71.75
"2024_ind",2024,"居住縣市","City",66,"台中市",152,12.6,12.6,84.35
"2024_ind",2024,"居住縣市","City",67,"台南市",91,7.55,7.55,91.9
"2024_ind",2024,"居住縣市","City",68,"桃園市",98,8.13,8.13,100.03
"2024_ind",2024,"居住縣市","City",NA,"總計（有效＋非實質回答）",1206,100,NA,NA
"2024_ind",2024,"居住縣市","City",NA,"未受訪／系統遺漏（不計入分母）",0,NA,NA,NA
