"dataset","year","party","var","value","label","n","pct_all","pct_valid","cum_pct_valid"
"2024_ind",2024,"國民黨","P2a",0,"0 非常不喜歡",122,10.12,10.61,10.61
"2024_ind",2024,"國民黨","P2a",1,"1",34,2.82,2.96,13.57
"2024_ind",2024,"國民黨","P2a",2,"2",76,6.3,6.61,20.18
"2024_ind",2024,"國民黨","P2a",3,"3",137,11.36,11.91,32.09
"2024_ind",2024,"國民黨","P2a",4,"4",105,8.71,9.13,41.22
"2024_ind",2024,"國民黨","P2a",5,"5",299,24.79,26,67.22
"2024_ind",2024,"國民黨","P2a",6,"6",125,10.36,10.87,78.09
"2024_ind",2024,"國民黨","P2a",7,"7",101,8.37,8.78,86.87
"2024_ind",2024,"國民黨","P2a",8,"8",88,7.3,7.65,94.52
"2024_ind",2024,"國民黨","P2a",9,"9",21,1.74,1.83,96.35
"2024_ind",2024,"國民黨","P2a",10,"10 非常喜歡",42,3.48,3.65,100
"2024_ind",2024,"國民黨","P2a",95,"95 拒答",10,0.83,NA,NA
"2024_ind",2024,"國民黨","P2a",98,"98 不知道",46,3.81,NA,NA
"2024_ind",2024,"國民黨","P2a",NA,"總計（有效作答＋拒答/不知道）",1206,100,NA,NA
"2024_ind",2024,"民進黨","P2b",0,"0 非常不喜歡",130,10.78,11.26,11.26
"2024_ind",2024,"民進黨","P2b",1,"1",44,3.65,3.81,15.07
"2024_ind",2024,"民進黨","P2b",2,"2",73,6.05,6.32,21.39
"2024_ind",2024,"民進黨","P2b",3,"3",103,8.54,8.92,30.31
"2024_ind",2024,"民進黨","P2b",4,"4",94,7.79,8.14,38.45
"2024_ind",2024,"民進黨","P2b",5,"5",238,19.73,20.61,59.06
"2024_ind",2024,"民進黨","P2b",6,"6",117,9.7,10.13,69.19
"2024_ind",2024,"民進黨","P2b",7,"7",91,7.55,7.88,77.07
"2024_ind",2024,"民進黨","P2b",8,"8",131,10.86,11.34,88.41
"2024_ind",2024,"民進黨","P2b",9,"9",50,4.15,4.33,92.74
"2024_ind",2024,"民進黨","P2b",10,"10 非常喜歡",84,6.97,7.27,100.01
"2024_ind",2024,"民進黨","P2b",95,"95 拒答",10,0.83,NA,NA
"2024_ind",2024,"民進黨","P2b",98,"98 不知道",41,3.4,NA,NA
"2024_ind",2024,"民進黨","P2b",NA,"總計（有效作答＋拒答/不知道）",1206,100,NA,NA
"2024_ind",2024,"台灣民眾黨","P2c",0,"0 非常不喜歡",147,12.19,13.06,13.06
"2024_ind",2024,"台灣民眾黨","P2c",1,"1",70,5.8,6.22,19.28
"2024_ind",2024,"台灣民眾黨","P2c",2,"2",87,7.21,7.73,27.01
"2024_ind",2024,"台灣民眾黨","P2c",3,"3",117,9.7,10.39,37.4
"2024_ind",2024,"台灣民眾黨","P2c",4,"4",90,7.46,7.99,45.39
"2024_ind",2024,"台灣民眾黨","P2c",5,"5",300,24.88,26.64,72.03
"2024_ind",2024,"台灣民眾黨","P2c",6,"6",113,9.37,10.04,82.07
"2024_ind",2024,"台灣民眾黨","P2c",7,"7",97,8.04,8.61,90.68
"2024_ind",2024,"台灣民眾黨","P2c",8,"8",63,5.22,5.6,96.28
"2024_ind",2024,"台灣民眾黨","P2c",9,"9",15,1.24,1.33,97.61
"2024_ind",2024,"台灣民眾黨","P2c",10,"10 非常喜歡",27,2.24,2.4,100.01
"2024_ind",2024,"台灣民眾黨","P2c",95,"95 拒答",11,0.91,NA,NA
"2024_ind",2024,"台灣民眾黨","P2c",96,"96 沒聽過",1,0.08,NA,NA
"2024_ind",2024,"台灣民眾黨","P2c",98,"98 不知道",68,5.64,NA,NA
"2024_ind",2024,"台灣民眾黨","P2c",NA,"總計（有效作答＋拒答/不知道）",1206,100,NA,NA
