"sex","age","edu","arear","ethnicity","party_kmt","party_dpp","party_tpp","n","n_wt","prop","prop_wt","cell"
"女性","30至39歲","大學及以上","中彰投區","本省閩南人","05","05","05",4,3.874122094,0.00217627856365615,0.00212803438925733,"女性 | 30至39歲 | 大學及以上 | 中彰投區 | 本省閩南人 | 05 | 05 | 05"
"男性","20至29歲","大學及以上","北北基宜蘭區","本省閩南人","05","05","05",4,5.187816272,0.00217627856365615,0.00284963952196101,"男性 | 20至29歲 | 大學及以上 | 北北基宜蘭區 | 本省閩南人 | 05 | 05 | 05"
"女性","20至29歲","大學及以上","中彰投區","本省閩南人","05","05","05",3,3.208925742,0.00163220892274211,0.00176264561773233,"女性 | 20至29歲 | 大學及以上 | 中彰投區 | 本省閩南人 | 05 | 05 | 05"
"女性","30至39歲","大學及以上","高屏澎湖區","本省閩南人","05","05","05",3,2.847761289,0.00163220892274211,0.00156425992995248,"女性 | 30至39歲 | 大學及以上 | 高屏澎湖區 | 本省閩南人 | 05 | 05 | 05"
"女性","60歲及以上","小學及以下","中彰投區","本省閩南人","05","05","05",3,2.890571922,0.00163220892274211,0.00158777557996025,"女性 | 60歲及以上 | 小學及以下 | 中彰投區 | 本省閩南人 | 05 | 05 | 05"
"女性","60歲及以上","小學及以下","桃竹苗區","本省客家人","05","05","05",3,2.876064912,0.00163220892274211,0.00157980695754303,"女性 | 60歲及以上 | 小學及以下 | 桃竹苗區 | 本省客家人 | 05 | 05 | 05"
"女性","60歲及以上","小學及以下","高屏澎湖區","本省閩南人","00","10","00",3,2.663477166,0.00163220892274211,0.00146303365426398,"女性 | 60歲及以上 | 小學及以下 | 高屏澎湖區 | 本省閩南人 | 00 | 10 | 00"
"男性","30至39歲","大學及以上","高屏澎湖區","本省閩南人","05","05","05",3,2.86503171,0.00163220892274211,0.00157374647914045,"男性 | 30至39歲 | 大學及以上 | 高屏澎湖區 | 本省閩南人 | 05 | 05 | 05"
"男性","30至39歲","大學及以上","高屏澎湖區","本省閩南人","05","05","07",3,3.1313864,0.00163220892274211,0.00172005367501789,"男性 | 30至39歲 | 大學及以上 | 高屏澎湖區 | 本省閩南人 | 05 | 05 | 07"
"男性","30至39歲","高中、職","中彰投區","本省閩南人","05","05","05",3,3.610686299,0.00163220892274211,0.00198333052667397,"男性 | 30至39歲 | 高中、職 | 中彰投區 | 本省閩南人 | 05 | 05 | 05"
"男性","40至49歲","大學及以上","雲嘉南區","本省閩南人","05","05","05",3,2.634151004,0.00163220892274211,0.00144692495151102,"男性 | 40至49歲 | 大學及以上 | 雲嘉南區 | 本省閩南人 | 05 | 05 | 05"
