"dataset","year","variable","var","value","label","n","pct_all","pct_valid","cum_pct_valid"
"2024_pan",2024,"性別","PSEX",1,"男性",992,50.3,50.3,50.3
"2024_pan",2024,"性別","PSEX",2,"女性",980,49.7,49.7,100
"2024_pan",2024,"性別","PSEX",NA,"總計（有效＋非實質回答）",1972,100,NA,NA
"2024_pan",2024,"性別","PSEX",NA,"未受訪／系統遺漏（不計入分母）",1575,NA,NA,NA
"2024_pan",2024,"年齡","PAGE",1,"20至29歲",176,8.92,8.96,8.96
"2024_pan",2024,"年齡","PAGE",2,"30至39歲",266,13.49,13.54,22.5
"2024_pan",2024,"年齡","PAGE",3,"40至49歲",407,20.64,20.71,43.21
"2024_pan",2024,"年齡","PAGE",4,"50至59歲",340,17.24,17.3,60.51
"2024_pan",2024,"年齡","PAGE",5,"60歲及以上",776,39.35,39.49,100
"2024_pan",2024,"年齡","PAGE",9,"無反應",7,0.35,NA,NA
"2024_pan",2024,"年齡","PAGE",NA,"總計（有效＋非實質回答）",1972,100,NA,NA
"2024_pan",2024,"年齡","PAGE",NA,"未受訪／系統遺漏（不計入分母）",1575,NA,NA,NA
"2024_pan",2024,"教育程度","PEDU",1,"小學及以下",232,11.76,11.78,11.78
"2024_pan",2024,"教育程度","PEDU",2,"國、初中",197,9.99,10,21.78
"2024_pan",2024,"教育程度","PEDU",3,"高中、職",518,26.27,26.29,48.07
"2024_pan",2024,"教育程度","PEDU",4,"專科",247,12.53,12.54,60.61
"2024_pan",2024,"教育程度","PEDU",5,"大學及以上",776,39.35,39.39,100
"2024_pan",2024,"教育程度","PEDU",9,"無反應",2,0.1,NA,NA
"2024_pan",2024,"教育程度","PEDU",NA,"總計（有效＋非實質回答）",1972,100,NA,NA
"2024_pan",2024,"教育程度","PEDU",NA,"未受訪／系統遺漏（不計入分母）",1575,NA,NA,NA
"2024_pan",2024,"省籍（父親）","PQ2",1,"本省客家人",251,12.73,12.83,12.83
"2024_pan",2024,"省籍（父親）","PQ2",2,"本省閩南人",1488,75.46,76.03,88.86
"2024_pan",2024,"省籍（父親）","PQ2",3,"大陸各省市",188,9.53,9.61,98.47
"2024_pan",2024,"省籍（父親）","PQ2",4,"原住民",15,0.76,0.77,99.24
"2024_pan",2024,"省籍（父親）","PQ2",5,"大陸新住民",4,0.2,0.2,99.44
"2024_pan",2024,"省籍（父親）","PQ2",6,"外國新住民",7,0.35,0.36,99.8
"2024_pan",2024,"省籍（父親）","PQ2",89,"外籍人士",4,0.2,0.2,100
"2024_pan",2024,"省籍（父親）","PQ2",95,"拒答",1,0.05,NA,NA
"2024_pan",2024,"省籍（父親）","PQ2",98,"不知道",14,0.71,NA,NA
"2024_pan",2024,"省籍（父親）","PQ2",NA,"總計（有效＋非實質回答）",1972,100,NA,NA
"2024_pan",2024,"省籍（父親）","PQ2",NA,"未受訪／系統遺漏（不計入分母）",1575,NA,NA,NA
"2024_pan",2024,"居住縣市","PCity",2,"宜蘭縣",59,2.99,2.99,2.99
"2024_pan",2024,"居住縣市","PCity",4,"新竹縣",50,2.54,2.54,5.53
"2024_pan",2024,"居住縣市","PCity",5,"苗栗縣",57,2.89,2.89,8.42
"2024_pan",2024,"居住縣市","PCity",7,"彰化縣",99,5.02,5.02,13.44
"2024_pan",2024,"居住縣市","PCity",8,"南投縣",41,2.08,2.08,15.52
"2024_pan",2024,"居住縣市","PCity",9,"雲林縣",47,2.38,2.38,17.9
"2024_pan",2024,"居住縣市","PCity",10,"嘉義縣",108,5.48,5.48,23.38
"2024_pan",2024,"居住縣市","PCity",13,"屏東縣",129,6.54,6.54,29.92
"2024_pan",2024,"居住縣市","PCity",14,"台東縣",31,1.57,1.57,31.49
"2024_pan",2024,"居住縣市","PCity",15,"花蓮縣",36,1.83,1.83,33.32
"2024_pan",2024,"居住縣市","PCity",17,"基隆市",65,3.3,3.3,36.62
"2024_pan",2024,"居住縣市","PCity",18,"新竹市",53,2.69,2.69,39.31
"2024_pan",2024,"居住縣市","PCity",63,"台北市",208,10.55,10.55,49.86
"2024_pan",2024,"居住縣市","PCity",64,"高雄市",231,11.71,11.71,61.57
"2024_pan",2024,"居住縣市","PCity",65,"新北市",241,12.22,12.22,73.79
"2024_pan",2024,"居住縣市","PCity",66,"台中市",206,10.45,10.45,84.24
"2024_pan",2024,"居住縣市","PCity",67,"台南市",170,8.62,8.62,92.86
"2024_pan",2024,"居住縣市","PCity",68,"桃園市",141,7.15,7.15,100.01
"2024_pan",2024,"居住縣市","PCity",NA,"總計（有效＋非實質回答）",1972,100,NA,NA
"2024_pan",2024,"居住縣市","PCity",NA,"未受訪／系統遺漏（不計入分母）",1575,NA,NA,NA
