"dataset","year","party","var","value","label","n","pct_all","pct_valid","cum_pct_valid"
"2024_pan",2024,"國民黨","PP2a",0,"0 非常不喜歡",197,9.99,10.31,10.31
"2024_pan",2024,"國民黨","PP2a",1,"1",66,3.35,3.46,13.77
"2024_pan",2024,"國民黨","PP2a",2,"2",123,6.24,6.44,20.21
"2024_pan",2024,"國民黨","PP2a",3,"3",220,11.16,11.52,31.73
"2024_pan",2024,"國民黨","PP2a",4,"4",200,10.14,10.47,42.2
"2024_pan",2024,"國民黨","PP2a",5,"5",509,25.81,26.65,68.85
"2024_pan",2024,"國民黨","PP2a",6,"6",208,10.55,10.89,79.74
"2024_pan",2024,"國民黨","PP2a",7,"7",159,8.06,8.32,88.06
"2024_pan",2024,"國民黨","PP2a",8,"8",131,6.64,6.86,94.92
"2024_pan",2024,"國民黨","PP2a",9,"9",31,1.57,1.62,96.54
"2024_pan",2024,"國民黨","PP2a",10,"10 非常喜歡",66,3.35,3.46,100
"2024_pan",2024,"國民黨","PP2a",95,"95 拒答",14,0.71,NA,NA
"2024_pan",2024,"國民黨","PP2a",98,"98 不知道",48,2.43,NA,NA
"2024_pan",2024,"國民黨","PP2a",NA,"總計（有效作答＋拒答/不知道）",1972,100,NA,NA
"2024_pan",2024,"國民黨","PP2a",NA,"未受訪／系統遺漏（不計入分母）",1575,NA,NA,NA
"2024_pan",2024,"民進黨","PP2b",0,"0 非常不喜歡",168,8.52,8.77,8.77
"2024_pan",2024,"民進黨","PP2b",1,"1",65,3.3,3.39,12.16
"2024_pan",2024,"民進黨","PP2b",2,"2",110,5.58,5.74,17.9
"2024_pan",2024,"民進黨","PP2b",3,"3",147,7.45,7.67,25.57
"2024_pan",2024,"民進黨","PP2b",4,"4",147,7.45,7.67,33.24
"2024_pan",2024,"民進黨","PP2b",5,"5",435,22.06,22.7,55.94
"2024_pan",2024,"民進黨","PP2b",6,"6",174,8.82,9.08,65.02
"2024_pan",2024,"民進黨","PP2b",7,"7",176,8.92,9.19,74.21
"2024_pan",2024,"民進黨","PP2b",8,"8",215,10.9,11.22,85.43
"2024_pan",2024,"民進黨","PP2b",9,"9",107,5.43,5.58,91.01
"2024_pan",2024,"民進黨","PP2b",10,"10 非常喜歡",172,8.72,8.98,99.99
"2024_pan",2024,"民進黨","PP2b",95,"95 拒答",10,0.51,NA,NA
"2024_pan",2024,"民進黨","PP2b",98,"98 不知道",46,2.33,NA,NA
"2024_pan",2024,"民進黨","PP2b",NA,"總計（有效作答＋拒答/不知道）",1972,100,NA,NA
"2024_pan",2024,"民進黨","PP2b",NA,"未受訪／系統遺漏（不計入分母）",1575,NA,NA,NA
"2024_pan",2024,"台灣民眾黨","PP2c",0,"0 非常不喜歡",231,11.71,12.45,12.45
"2024_pan",2024,"台灣民眾黨","PP2c",1,"1",96,4.87,5.18,17.63
"2024_pan",2024,"台灣民眾黨","PP2c",2,"2",143,7.25,7.71,25.34
"2024_pan",2024,"台灣民眾黨","PP2c",3,"3",209,10.6,11.27,36.61
"2024_pan",2024,"台灣民眾黨","PP2c",4,"4",173,8.77,9.33,45.94
"2024_pan",2024,"台灣民眾黨","PP2c",5,"5",473,23.99,25.5,71.44
"2024_pan",2024,"台灣民眾黨","PP2c",6,"6",182,9.23,9.81,81.25
"2024_pan",2024,"台灣民眾黨","PP2c",7,"7",159,8.06,8.57,89.82
"2024_pan",2024,"台灣民眾黨","PP2c",8,"8",117,5.93,6.31,96.13
"2024_pan",2024,"台灣民眾黨","PP2c",9,"9",36,1.83,1.94,98.07
"2024_pan",2024,"台灣民眾黨","PP2c",10,"10 非常喜歡",36,1.83,1.94,100.01
"2024_pan",2024,"台灣民眾黨","PP2c",95,"95 拒答",16,0.81,NA,NA
"2024_pan",2024,"台灣民眾黨","PP2c",96,"96 沒聽過",6,0.3,NA,NA
"2024_pan",2024,"台灣民眾黨","PP2c",98,"98 不知道",95,4.82,NA,NA
"2024_pan",2024,"台灣民眾黨","PP2c",NA,"總計（有效作答＋拒答/不知道）",1972,100,NA,NA
"2024_pan",2024,"台灣民眾黨","PP2c",NA,"未受訪／系統遺漏（不計入分母）",1575,NA,NA,NA
