"sex","age","edu","arear","ethnicity","party_kmt","party_dpp","party_tpp","n","n_wt","prop","prop_wt","cell"
"男性","20至29歲","大學及以上","中彰投區","本省閩南人","05","05","05",7,10.0506787323135,0.00264250660626652,0.0038083330804187,"男性 | 20至29歲 | 大學及以上 | 中彰投區 | 本省閩南人 | 05 | 05 | 05"
"男性","30至39歲","大學及以上","北北基宜蘭區","本省閩南人","05","05","05",7,8.02529748962548,0.00264250660626652,0.00304088974724464,"男性 | 30至39歲 | 大學及以上 | 北北基宜蘭區 | 本省閩南人 | 05 | 05 | 05"
"女性","40至49歲","大學及以上","北北基宜蘭區","本省閩南人","05","05","05",6,5.47786773565509,0.00226500566251416,0.00207563543353371,"女性 | 40至49歲 | 大學及以上 | 北北基宜蘭區 | 本省閩南人 | 05 | 05 | 05"
"女性","30至39歲","大學及以上","中彰投區","本省閩南人","05","05","05",5,6.27647923589638,0.0018875047187618,0.00237823973278302,"女性 | 30至39歲 | 大學及以上 | 中彰投區 | 本省閩南人 | 05 | 05 | 05"
"女性","30至39歲","大學及以上","北北基宜蘭區","本省閩南人","05","05","05",5,6.1296666393249,0.0018875047187618,0.00232261052772767,"女性 | 30至39歲 | 大學及以上 | 北北基宜蘭區 | 本省閩南人 | 05 | 05 | 05"
"女性","20至29歲","大學及以上","雲嘉南區","本省閩南人","05","05","05",4,5.29140405580039,0.00151000377500944,0.00200498191657229,"女性 | 20至29歲 | 大學及以上 | 雲嘉南區 | 本省閩南人 | 05 | 05 | 05"
"女性","40至49歲","高中、職","雲嘉南區","本省閩南人","05","05","05",4,4.48457604097189,0.00151000377500944,0.00169926427292688,"女性 | 40至49歲 | 高中、職 | 雲嘉南區 | 本省閩南人 | 05 | 05 | 05"
"男性","30至39歲","大學及以上","中彰投區","本省閩南人","05","05","05",4,4.69572150557774,0.00151000377500944,0.00177927003960745,"男性 | 30至39歲 | 大學及以上 | 中彰投區 | 本省閩南人 | 05 | 05 | 05"
"男性","40至49歲","大學及以上","桃竹苗區","本省閩南人","05","05","05",4,3.21525426555676,0.00151000377500944,0.00121830171947588,"男性 | 40至49歲 | 大學及以上 | 桃竹苗區 | 本省閩南人 | 05 | 05 | 05"
"男性","50至59歲","國、初中","北北基宜蘭區","本省閩南人","05","05","05",4,5.05388164517733,0.00151000377500944,0.00191498158148961,"男性 | 50至59歲 | 國、初中 | 北北基宜蘭區 | 本省閩南人 | 05 | 05 | 05"
"男性","60歲及以上","高中、職","中彰投區","本省閩南人","05","05","05",4,3.133914564,0.00151000377500944,0.00118748104711729,"男性 | 60歲及以上 | 高中、職 | 中彰投區 | 本省閩南人 | 05 | 05 | 05"
