"dataset","year","variable","var","value","label","n","pct_all","pct_valid","cum_pct_valid"
"2025",2025,"性別","SEX",1,"男性",1466,50.55,50.55,50.55
"2025",2025,"性別","SEX",2,"女性",1434,49.45,49.45,100
"2025",2025,"性別","SEX",NA,"總計（有效＋非實質回答）",2900,100,NA,NA
"2025",2025,"性別","SEX",NA,"未受訪／系統遺漏（不計入分母）",0,NA,NA,NA
"2025",2025,"年齡","AGE",1,"18至19歲",44,1.52,1.52,1.52
"2025",2025,"年齡","AGE",2,"20至29歲",256,8.83,8.85,10.37
"2025",2025,"年齡","AGE",3,"30至39歲",364,12.55,12.58,22.95
"2025",2025,"年齡","AGE",4,"40至49歲",568,19.59,19.63,42.58
"2025",2025,"年齡","AGE",5,"50至59歲",517,17.83,17.86,60.44
"2025",2025,"年齡","AGE",6,"60歲及以上",1145,39.48,39.56,100
"2025",2025,"年齡","AGE",9,"無反應",6,0.21,NA,NA
"2025",2025,"年齡","AGE",NA,"總計（有效＋非實質回答）",2900,100,NA,NA
"2025",2025,"年齡","AGE",NA,"未受訪／系統遺漏（不計入分母）",0,NA,NA,NA
"2025",2025,"教育程度","EDU",1,"小學及以下",297,10.24,10.24,10.24
"2025",2025,"教育程度","EDU",2,"國、初中",289,9.97,9.97,20.21
"2025",2025,"教育程度","EDU",3,"高中、職",729,25.14,25.15,45.36
"2025",2025,"教育程度","EDU",4,"專科",376,12.97,12.97,58.33
"2025",2025,"教育程度","EDU",5,"大學及以上",1208,41.66,41.67,100
"2025",2025,"教育程度","EDU",9,"無反應",1,0.03,NA,NA
"2025",2025,"教育程度","EDU",NA,"總計（有效＋非實質回答）",2900,100,NA,NA
"2025",2025,"教育程度","EDU",NA,"未受訪／系統遺漏（不計入分母）",0,NA,NA,NA
"2025",2025,"省籍（父親）","H2a",1,"本省客家人",299,10.31,10.43,10.43
"2025",2025,"省籍（父親）","H2a",2,"本省閩南人",2212,76.28,77.13,87.56
"2025",2025,"省籍（父親）","H2a",3,"大陸各省市",303,10.45,10.56,98.12
"2025",2025,"省籍（父親）","H2a",4,"原住民",26,0.9,0.91,99.03
"2025",2025,"省籍（父親）","H2a",5,"大陸新住民",3,0.1,0.1,99.13
"2025",2025,"省籍（父親）","H2a",6,"外國新住民",6,0.21,0.21,99.34
"2025",2025,"省籍（父親）","H2a",88,"台灣僑胞/華僑",3,0.1,0.1,99.44
"2025",2025,"省籍（父親）","H2a",89,"外籍人士",7,0.24,0.24,99.68
"2025",2025,"省籍（父親）","H2a",91,"台灣人",9,0.31,0.31,99.99
"2025",2025,"省籍（父親）","H2a",95,"拒答",5,0.17,NA,NA
"2025",2025,"省籍（父親）","H2a",98,"不知道",27,0.93,NA,NA
"2025",2025,"省籍（父親）","H2a",NA,"總計（有效＋非實質回答）",2900,100,NA,NA
"2025",2025,"省籍（父親）","H2a",NA,"未受訪／系統遺漏（不計入分母）",0,NA,NA,NA
"2025",2025,"居住縣市","City",2,"宜蘭縣",104,3.59,3.59,3.59
"2025",2025,"居住縣市","City",4,"新竹縣",109,3.76,3.76,7.35
"2025",2025,"居住縣市","City",5,"苗栗縣",96,3.31,3.31,10.66
"2025",2025,"居住縣市","City",7,"彰化縣",158,5.45,5.45,16.11
"2025",2025,"居住縣市","City",8,"南投縣",80,2.76,2.76,18.87
"2025",2025,"居住縣市","City",9,"雲林縣",165,5.69,5.69,24.56
"2025",2025,"居住縣市","City",10,"嘉義縣",89,3.07,3.07,27.63
"2025",2025,"居住縣市","City",13,"屏東縣",105,3.62,3.62,31.25
"2025",2025,"居住縣市","City",14,"臺東縣",42,1.45,1.45,32.7
"2025",2025,"居住縣市","City",15,"花蓮縣",43,1.48,1.48,34.18
"2025",2025,"居住縣市","City",17,"基隆市",114,3.93,3.93,38.11
"2025",2025,"居住縣市","City",18,"新竹市",72,2.48,2.48,40.59
"2025",2025,"居住縣市","City",63,"臺北市",280,9.66,9.66,50.25
"2025",2025,"居住縣市","City",64,"高雄市",246,8.48,8.48,58.73
"2025",2025,"居住縣市","City",65,"新北市",459,15.83,15.83,74.56
"2025",2025,"居住縣市","City",66,"臺中市",307,10.59,10.59,85.15
"2025",2025,"居住縣市","City",67,"臺南市",201,6.93,6.93,92.08
"2025",2025,"居住縣市","City",68,"桃園市",230,7.93,7.93,100.01
"2025",2025,"居住縣市","City",NA,"總計（有效＋非實質回答）",2900,100,NA,NA
"2025",2025,"居住縣市","City",NA,"未受訪／系統遺漏（不計入分母）",0,NA,NA,NA
