"dataset","year","party","var","value","label","n","pct_all","pct_valid","cum_pct_valid"
"2025",2025,"國民黨","G2a",0,"0 非常不喜歡",355,12.24,12.76,12.76
"2025",2025,"國民黨","G2a",1,"1",116,4,4.17,16.93
"2025",2025,"國民黨","G2a",2,"2",192,6.62,6.9,23.83
"2025",2025,"國民黨","G2a",3,"3",305,10.52,10.96,34.79
"2025",2025,"國民黨","G2a",4,"4",216,7.45,7.76,42.55
"2025",2025,"國民黨","G2a",5,"5",822,28.34,29.55,72.1
"2025",2025,"國民黨","G2a",6,"6",309,10.66,11.11,83.21
"2025",2025,"國民黨","G2a",7,"7",224,7.72,8.05,91.26
"2025",2025,"國民黨","G2a",8,"8",145,5,5.21,96.47
"2025",2025,"國民黨","G2a",9,"9",35,1.21,1.26,97.73
"2025",2025,"國民黨","G2a",10,"10 非常喜歡",63,2.17,2.26,99.99
"2025",2025,"國民黨","G2a",95,"95 拒答",45,1.55,NA,NA
"2025",2025,"國民黨","G2a",98,"98 不知道",73,2.52,NA,NA
"2025",2025,"國民黨","G2a",NA,"總計（有效作答＋拒答/不知道）",2900,100,NA,NA
"2025",2025,"民進黨","G2b",0,"0 非常不喜歡",296,10.21,10.62,10.62
"2025",2025,"民進黨","G2b",1,"1",135,4.66,4.85,15.47
"2025",2025,"民進黨","G2b",2,"2",171,5.9,6.14,21.61
"2025",2025,"民進黨","G2b",3,"3",309,10.66,11.09,32.7
"2025",2025,"民進黨","G2b",4,"4",213,7.34,7.65,40.35
"2025",2025,"民進黨","G2b",5,"5",678,23.38,24.34,64.69
"2025",2025,"民進黨","G2b",6,"6",237,8.17,8.51,73.2
"2025",2025,"民進黨","G2b",7,"7",244,8.41,8.76,81.96
"2025",2025,"民進黨","G2b",8,"8",267,9.21,9.58,91.54
"2025",2025,"民進黨","G2b",9,"9",107,3.69,3.84,95.38
"2025",2025,"民進黨","G2b",10,"10 非常喜歡",129,4.45,4.63,100.01
"2025",2025,"民進黨","G2b",95,"95 拒答",40,1.38,NA,NA
"2025",2025,"民進黨","G2b",98,"98 不知道",74,2.55,NA,NA
"2025",2025,"民進黨","G2b",NA,"總計（有效作答＋拒答/不知道）",2900,100,NA,NA
"2025",2025,"台灣民眾黨","G2c",0,"0 非常不喜歡",448,15.45,16.67,16.67
"2025",2025,"台灣民眾黨","G2c",1,"1",160,5.52,5.95,22.62
"2025",2025,"台灣民眾黨","G2c",2,"2",232,8,8.63,31.25
"2025",2025,"台灣民眾黨","G2c",3,"3",293,10.1,10.9,42.15
"2025",2025,"台灣民眾黨","G2c",4,"4",275,9.48,10.23,52.38
"2025",2025,"台灣民眾黨","G2c",5,"5",776,26.76,28.87,81.25
"2025",2025,"台灣民眾黨","G2c",6,"6",240,8.28,8.93,90.18
"2025",2025,"台灣民眾黨","G2c",7,"7",121,4.17,4.5,94.68
"2025",2025,"台灣民眾黨","G2c",8,"8",79,2.72,2.94,97.62
"2025",2025,"台灣民眾黨","G2c",9,"9",34,1.17,1.26,98.88
"2025",2025,"台灣民眾黨","G2c",10,"10 非常喜歡",30,1.03,1.12,100
"2025",2025,"台灣民眾黨","G2c",95,"95 拒答",43,1.48,NA,NA
"2025",2025,"台灣民眾黨","G2c",98,"98 不知道",169,5.83,NA,NA
"2025",2025,"台灣民眾黨","G2c",NA,"總計（有效作答＋拒答/不知道）",2900,100,NA,NA
