"sex","age","edu","arear","ethnicity","party_kmt","party_dpp","party_tpp","n","n_wt","n_sources","prop","prop_wt","cell"
"女性","30至39歲","大學及以上","中彰投區","本省閩南人","05","05","05",10,11.2965176898964,3,0.00178571428571429,0.00202642680871141,"女性 | 30至39歲 | 大學及以上 | 中彰投區 | 本省閩南人 | 05 | 05 | 05"
"男性","30至39歲","大學及以上","北北基宜蘭區","本省閩南人","05","05","05",9,10.3514849706255,3,0.00160714285714286,0.00185690203213776,"男性 | 30至39歲 | 大學及以上 | 北北基宜蘭區 | 本省閩南人 | 05 | 05 | 05"
"女性","40至49歲","大學及以上","北北基宜蘭區","本省閩南人","05","05","05",8,7.44672294965509,2,0.00142857142857143,0.00133583104426281,"女性 | 40至49歲 | 大學及以上 | 北北基宜蘭區 | 本省閩南人 | 05 | 05 | 05"
"女性","60歲及以上","小學及以下","高屏區","本省閩南人","00","10","00",8,8.06260992202783,3,0.00142857142857143,0.00144631198239018,"女性 | 60歲及以上 | 小學及以下 | 高屏區 | 本省閩南人 | 00 | 10 | 00"
"男性","20至29歲","大學及以上","中彰投區","本省閩南人","05","05","05",8,11.0895539373135,2,0.00142857142857143,0.00198930059794642,"男性 | 20至29歲 | 大學及以上 | 中彰投區 | 本省閩南人 | 05 | 05 | 05"
"女性","60歲及以上","國、初中","中彰投區","本省閩南人","05","05","05",7,7.11727590073518,3,0.00125,0.00127673315672714,"女性 | 60歲及以上 | 國、初中 | 中彰投區 | 本省閩南人 | 05 | 05 | 05"
"女性","20至29歲","大學及以上","中彰投區","本省閩南人","05","05","05",6,7.60129109987571,3,0.00107142857142857,0.0013635582653391,"女性 | 20至29歲 | 大學及以上 | 中彰投區 | 本省閩南人 | 05 | 05 | 05"
"女性","30至39歲","大學及以上","北北基宜蘭區","本省閩南人","05","05","05",6,7.4381571093249,2,0.00107142857142857,0.00133429446024986,"女性 | 30至39歲 | 大學及以上 | 北北基宜蘭區 | 本省閩南人 | 05 | 05 | 05"
"女性","30至39歲","大學及以上","雲嘉南區","本省閩南人","05","05","05",6,6.22887540946274,3,0.00107142857142857,0.00111736735730056,"女性 | 30至39歲 | 大學及以上 | 雲嘉南區 | 本省閩南人 | 05 | 05 | 05"
"女性","60歲及以上","小學及以下","中彰投區","本省閩南人","05","05","05",6,5.64815693336803,3,0.00107142857142857,0.00101319512293803,"女性 | 60歲及以上 | 小學及以下 | 中彰投區 | 本省閩南人 | 05 | 05 | 05"
"女性","60歲及以上","小學及以下","北北基宜蘭區","本省閩南人","00","10","00",6,6.22565840251101,3,0.00107142857142857,0.00111679027422861,"女性 | 60歲及以上 | 小學及以下 | 北北基宜蘭區 | 本省閩南人 | 00 | 10 | 00"
