"variable","in_raking","collapse_version","label","n_sample","pct_sample","pct_target","pct_raked"
"sex",TRUE,"原始","男性",1635,51.69,48.82,48.82
"sex",TRUE,"原始","女性",1528,48.31,51.18,51.18
"age",TRUE,"A","20至29歲",820,25.92,14.6,15.98
"age",TRUE,"A","30至39歲",1009,31.9,16.55,18.11
"age",TRUE,"A","40至49歲",850,26.87,19.88,21.77
"age",TRUE,"A","50至59歲",330,10.43,18.08,19.8
"age",TRUE,"A","60歲及以上",154,4.87,30.89,24.34
"edu",TRUE,"B","高中職及以下",357,11.29,48.91,48.98
"edu",TRUE,"B","專科",292,9.23,11.4,10.4
"edu",TRUE,"B","大學及以上",2514,79.48,39.69,40.63
"arear",TRUE,"A","北北基宜蘭區",1298,41.04,31.68,30.99
"arear",TRUE,"A","桃竹苗區",473,14.95,16.14,16.81
"arear",TRUE,"A","中彰投區",507,16.03,19.26,19.43
"arear",TRUE,"A","雲嘉南區",381,12.05,14.15,13.76
"arear",TRUE,"A","高屏澎湖區",434,13.72,15.78,15.92
"arear",TRUE,"A","花東外島區",70,2.21,2.99,3.09
"ethnicity",FALSE,"4class","本省客家人",255,8.06,11.79,9.3
"ethnicity",FALSE,"4class","本省閩南人",2612,82.58,74.22,79.3
"ethnicity",FALSE,"4class","大陸各省市",274,8.66,11.96,10.3
"ethnicity",FALSE,"4class","其他",22,0.7,2.02,1.1
"party_kmt",TRUE,"C","0-4 冷淡",1938,61.27,41.22,40.14
"party_kmt",TRUE,"C","5 中間",601,19,26,26.93
"party_kmt",TRUE,"C","6-10 溫暖",624,19.73,32.78,32.93
"party_dpp",TRUE,"C","0-4 冷淡",1763,55.74,38.44,36.31
"party_dpp",TRUE,"C","5 中間",548,17.33,20.61,21.51
"party_dpp",TRUE,"C","6-10 溫暖",852,26.94,40.95,42.18
"party_tpp",TRUE,"C","0-4 冷淡",1611,50.93,45.38,43.28
"party_tpp",TRUE,"C","5 中間",712,22.51,26.64,27.2
"party_tpp",TRUE,"C","6-10 溫暖",840,26.56,27.98,29.52
