"variable","in_raking","collapse_version","label","n_sample","pct_sample","pct_target","pct_raked"
"sex",TRUE,"原始","男性",335,46.85,48.82,48.82
"sex",TRUE,"原始","女性",380,53.15,51.18,51.18
"age",TRUE,"A","20至29歲",138,19.3,14.6,14.6
"age",TRUE,"A","30至39歲",210,29.37,16.55,16.55
"age",TRUE,"A","40至49歲",231,32.31,19.88,19.88
"age",TRUE,"A","50至59歲",87,12.17,18.08,18.09
"age",TRUE,"A","60歲及以上",49,6.85,30.89,30.89
"edu",TRUE,"C","高中職及以下",99,13.85,48.91,48.9
"edu",TRUE,"C","專科及以上",616,86.15,51.09,51.1
"arear",TRUE,"A","北北基宜蘭區",264,36.92,31.68,31.68
"arear",TRUE,"A","桃竹苗區",113,15.8,16.14,16.14
"arear",TRUE,"A","中彰投區",148,20.7,19.26,19.26
"arear",TRUE,"A","雲嘉南區",81,11.33,14.15,14.15
"arear",TRUE,"A","高屏澎湖區",96,13.43,15.78,15.78
"arear",TRUE,"A","花東外島區",13,1.82,2.99,2.99
"ethnicity",FALSE,"4class","本省客家人",70,11.04,11.79,11.32
"ethnicity",FALSE,"4class","本省閩南人",522,82.33,74.22,78.59
"ethnicity",FALSE,"4class","大陸各省市",36,5.68,11.96,8.41
"ethnicity",FALSE,"4class","其他",6,0.95,2.02,1.67
"party_kmt",TRUE,"C","0-4 冷淡",417,58.32,41.22,41.22
"party_kmt",TRUE,"C","5 中間",206,28.81,26,26
"party_kmt",TRUE,"C","6-10 溫暖",92,12.87,32.78,32.79
"party_dpp",TRUE,"C","0-4 冷淡",417,58.32,38.44,38.44
"party_dpp",TRUE,"C","5 中間",197,27.55,20.61,20.61
"party_dpp",TRUE,"C","6-10 溫暖",101,14.13,40.95,40.95
"party_tpp",TRUE,"C","0-4 冷淡",336,46.99,45.38,45.38
"party_tpp",TRUE,"C","5 中間",225,31.47,26.64,26.64
"party_tpp",TRUE,"C","6-10 溫暖",154,21.54,27.98,27.98
