"variable","in_raking","collapse_version","label","n_sample","pct_sample","pct_target","pct_raked"
"sex",TRUE,"原始","男性",4263,48.34,48.82,46.66
"sex",TRUE,"原始","女性",4555,51.66,51.18,53.34
"age",TRUE,"A","20至29歲",1914,21.71,14.6,14.6
"age",TRUE,"A","30至39歲",2752,31.21,16.55,16.55
"age",TRUE,"A","40至49歲",2670,30.28,19.88,19.88
"age",TRUE,"A","50至59歲",873,9.9,18.08,18.08
"age",TRUE,"A","60歲及以上",609,6.91,30.89,30.89
"edu",TRUE,"C","高中職及以下",1089,12.35,48.91,48.91
"edu",TRUE,"C","專科及以上",7729,87.65,51.09,51.09
"arear",TRUE,"A","北北基宜蘭區",3556,40.33,31.68,31.68
"arear",TRUE,"A","桃竹苗區",1373,15.57,16.14,16.14
"arear",TRUE,"A","中彰投區",1559,17.68,19.26,19.26
"arear",TRUE,"A","雲嘉南區",988,11.2,14.15,14.15
"arear",TRUE,"A","高屏澎湖區",1189,13.48,15.78,15.78
"arear",TRUE,"A","花東外島區",153,1.74,2.99,2.99
"ethnicity",FALSE,"4class","本省客家人",812,10.31,11.79,11.05
"ethnicity",FALSE,"4class","本省閩南人",6408,81.35,74.22,77.85
"ethnicity",FALSE,"4class","大陸各省市",566,7.19,11.96,9.33
"ethnicity",FALSE,"4class","其他",91,1.16,2.02,1.77
"party_kmt",TRUE,"C","0-4 冷淡",5381,61.02,41.22,41.22
"party_kmt",TRUE,"C","5 中間",1880,21.32,26,26
"party_kmt",TRUE,"C","6-10 溫暖",1557,17.66,32.78,32.78
"party_dpp",TRUE,"C","0-4 冷淡",4758,53.96,38.44,38.44
"party_dpp",TRUE,"C","5 中間",1783,20.22,20.61,20.61
"party_dpp",TRUE,"C","6-10 溫暖",2277,25.82,40.95,40.95
"party_tpp",TRUE,"C","0-4 冷淡",4357,49.41,45.38,45.38
"party_tpp",TRUE,"C","5 中間",2069,23.46,26.64,26.64
"party_tpp",TRUE,"C","6-10 溫暖",2392,27.13,27.98,27.98
